method,runs,controller_modes,benchmarks,final_hv_n,final_hv_mean,final_hv_std,final_hv_min,final_hv_max,best_hv_n,best_hv_mean,best_hv_std,best_hv_min,best_hv_max,hv_auc_n,hv_auc_mean,hv_auc_std,hv_auc_min,hv_auc_max,final_feasible_ratio_n,final_feasible_ratio_mean,final_feasible_ratio_std,final_feasible_ratio_min,final_feasible_ratio_max,final_rank1_ratio_n,final_rank1_ratio_mean,final_rank1_ratio_std,final_rank1_ratio_min,final_rank1_ratio_max,final_igd_n,final_igd_mean,final_igd_std,final_igd_min,final_igd_max,final_igd_plus_n,final_igd_plus_mean,final_igd_plus_std,final_igd_plus_min,final_igd_plus_max,final_spacing_n,final_spacing_mean,final_spacing_std,final_spacing_min,final_spacing_max,final_spread_n,final_spread_mean,final_spread_std,final_spread_min,final_spread_max,runtime_s_n,runtime_s_mean,runtime_s_std,runtime_s_min,runtime_s_max,llm_overhead_s_n,llm_overhead_s_mean,llm_overhead_s_std,llm_overhead_s_min,llm_overhead_s_max,num_actions_n,num_actions_mean,num_actions_std,num_actions_min,num_actions_max,num_experiences_n,num_experiences_mean,num_experiences_std,num_experiences_min,num_experiences_max
baseline_nsga2,5,rule,unknown,5,2.127079999999999,0.21262589682350516,1.9717999999999993,2.4893999999999985,5,4.200300000000001,0.6688033156317331,3.6333000000000015,5.1408000000000005,5,2.3290838095238087,0.20517539691411854,2.1200571428571426,2.668842857142856,5,1.0,0.0,1.0,1.0,5,1.0,0.0,1.0,1.0,5,0.0,0.0,0.0,0.0,5,0.0,0.0,0.0,0.0,5,0.17563505827199616,0.09970159418103808,0.09999999999999942,0.3435112807463529,5,0.21651687669217162,0.0830946711879629,0.15151686465822795,0.35484340717696916,5,0.21103649998549373,0.01709731419485112,0.18250130000524223,0.2251824999693781,5,0.0,0.0,0.0,0.0,5,0.0,0.0,0.0,0.0,5,0.0,0.0,0.0,0.0
baseline_rule_control,5,rule,unknown,5,2.152959999999999,0.19624481649205391,1.9717999999999993,2.4893999999999985,5,4.200300000000001,0.6688033156317331,3.6333000000000015,5.1408000000000005,5,2.3377104761904755,0.20489680764858287,2.1200571428571426,2.668842857142856,5,1.0,0.0,1.0,1.0,5,1.0,0.0,1.0,1.0,5,0.0,0.0,0.0,0.0,5,0.0,0.0,0.0,0.0,5,0.17563505827199616,0.09970159418103808,0.09999999999999942,0.3435112807463529,5,0.2350260514009661,0.07489947045750084,0.15151686465822795,0.35484340717696916,5,0.21945259999483824,0.0038042055819545533,0.21372130000963807,0.22341749991755933,5,0.00016644003335386515,2.4381343999308096e-05,0.00014849996659904718,0.00020720006432384253,5,4.0,0.0,4.0,4.0,5,4.0,0.0,4.0,4.0
mock_llm_chain,5,mock_llm,unknown,5,2.136959999999999,0.1622788587586193,1.9717999999999993,2.4093999999999984,5,4.200300000000001,0.6688033156317331,3.6333000000000015,5.1408000000000005,5,2.418855384615384,0.22886355366302016,2.1039384615384615,2.7238846153846143,5,1.0,0.0,1.0,1.0,5,1.0,0.0,1.0,1.0,5,0.0,0.0,0.0,0.0,5,0.0,0.0,0.0,0.0,5,0.22147537062893613,0.199213014775563,0.09999999999999942,0.5727128425310528,5,0.2927692137909837,0.19894189420055386,0.15151686465822795,0.6435592191270569,5,0.13412371997255831,0.011837203974581009,0.11500460002571344,0.14543419994879514,5,0.0007676399778574705,8.274675249124691e-05,0.0006517000729218125,0.0008821999654173851,5,3.0,0.0,3.0,3.0,5,3.0,0.0,3.0,3.0
real_llm_chain,5,real_llm,unknown,5,2.127079999999999,0.21262589682350516,1.9717999999999993,2.4893999999999985,5,4.200300000000001,0.6688033156317331,3.6333000000000015,5.1408000000000005,5,2.4310907692307686,0.23843444935464567,2.1039384615384615,2.771576923076922,5,1.0,0.0,1.0,1.0,5,1.0,0.0,1.0,1.0,5,0.0,0.0,0.0,0.0,5,0.0,0.0,0.0,0.0,5,0.16216865721063314,0.10548297622424668,0.09999999999999942,0.3435112807463529,5,0.2228586996358684,0.08390358415638255,0.15151686465822795,0.35484340717696916,5,81.78155476006214,8.629474182309941,75.76806450006552,96.13196510006674,5,81.62610293996985,8.642180120986463,75.58448949991725,95.99170659994707,5,3.0,0.0,3.0,3.0,5,3.0,0.0,3.0,3.0
